photo_count,taxon_name,ancestry,rank,rank_level,state_of_matter,kingdom,phylum,subphylum,class,subclass,order,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies
4443,Jikradia olitoria,48460/1/47120/372739/47158/184884/47744/125816/372849/49025/53237/516000/603567/330918,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Membracoidea,Cicadellidae,Coelidiinae,Teruliini,Jikradia,No subgenus,Jikradia olitoria,
4443,Catopsilia pomona,48460/1/47120/372739/47158/184884/47157/47224/48508/119556/51823,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Coliadinae,No tribe,Catopsilia,No subgenus,Catopsilia pomona,
4440,Aedes albopictus,48460/1/47120/372739/47158/184884/47822/154259/153429/513826/52134/357355/505234/62989/1112153,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Culicoidea,Culicidae,Culicinae,Aedini,Aedes,Stegomyia,Aedes albopictus,
4435,Philaenus spumarius,48460/1/47120/372739/47158/184884/47744/125816/372849/56194/56195/787243/787244/56196,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Cercopoidea,Aphrophoridae,Aphrophorinae,Philaenini,Philaenus,No subgenus,Philaenus spumarius,
4430,Bicyrtes quadrifasciatus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/51955/210928/210927/507574/126197,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Crabronidae,Bembicinae,Bembicini,Bicyrtes,No subgenus,Bicyrtes quadrifasciatus,
4423,Lestes rectangularis,48460/1/47120/372739/47158/184884/47792/47928/1317183/47930/89475,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Lestoidea,Lestidae,No subfamily,No tribe,Lestes,No subgenus,Lestes rectangularis,
4416,Xylophanes tersa,48460/1/47120/372739/47158/184884/47157/47214/47213/124071/124065/124055/69738,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Xylophanes,No subgenus,Xylophanes tersa,
4411,Acronicta rumicis,48460/1/47120/372739/47158/184884/47157/47607/48670/122465/55624/155511/1293515,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Noctuidae,Acronictinae,No tribe,Acronicta,Simyra,Acronicta rumicis,
4403,Hyles gallii,48460/1/47120/372739/47158/184884/47157/47214/47213/124071/124065/124055/49349,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Hyles,No subgenus,Hyles gallii,
4399,Macaria pustularia,48460/1/47120/372739/47158/184884/47157/49531/49530/123033/124041/118494,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Geometroidea,Geometridae,Ennominae,Macariini,Macaria,No subgenus,Macaria pustularia,
4380,Dialictus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57678,subgenus,15.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Halictidae,Halictinae,Halictini,Lasioglossum,No subgenus,[408] No species,
4378,Enallagma basidens,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/50175,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Enallagma,No subgenus,Enallagma basidens,
4368,Brachymesia gravida,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/68231,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Brachymesia,No subgenus,Brachymesia gravida,
4365,Zygaena filipendulae,48460/1/47120/372739/47158/184884/47157/52029/52028/124753/62187,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Zygaenoidea,Zygaenidae,Zygaeninae,No tribe,Zygaena,No subgenus,Zygaena filipendulae,
4360,Alypia octomaculata,48460/1/47120/372739/47158/184884/47157/47607/48670/122464/63817,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Noctuidae,Agaristinae,No tribe,Alypia,No subgenus,Alypia octomaculata,
4346,Trithemis aurora,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/92658,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Trithemis,No subgenus,Trithemis aurora,
4308,Palthis asopialis,48460/1/47120/372739/47158/184884/47157/47607/121850/122479/52903,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Herminiinae,No tribe,Palthis,No subgenus,Palthis asopialis,
4296,Bombus terricola,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538903,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus,Bombus terricola,
4284,Melanitis leda,48460/1/47120/372739/47158/184884/47157/47224/47922/58597/205390/51585,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Melanitini,Melanitis,No subgenus,Melanitis leda,
4270,Andricus quercuscalifornicus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Cynipoidea,Cynipidae,Cynipinae,Cynipini,Andricus,No subgenus,Andricus quercuscalifornicus,
4267,Deilephila elpenor,48460/1/47120/372739/47158/184884/47157/47214/47213/124071/124065/124055/55997,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Deilephila,No subgenus,Deilephila elpenor,
4248,Volucella pellucens,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/326181/479390/52481,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Eristalinae,Volucellini,Volucella,No subgenus,Volucella pellucens,
4243,Aporia crataegi,48460/1/47120/372739/47158/184884/47157/47224/48508/209720/321384/61296,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Pierinae,Pierini,Aporia,No subgenus,Aporia crataegi,
4194,Enallagma signatum,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/50175,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Enallagma,No subgenus,Enallagma signatum,
4192,Helicoverpa zea,48460/1/47120/372739/47158/184884/47157/47607/48670/122535/83810,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Noctuidae,Heliothinae,No tribe,Helicoverpa,No subgenus,Helicoverpa zea,
4181,Leptinotarsa decemlineata,48460/1/47120/372739/47158/184884/47208/71130/372852/176269/51146/154472/1162208/335544/84189,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Chrysomeloidea,Chrysomelidae,Chrysomelinae,Doryphorini,Leptinotarsa,No subgenus,Leptinotarsa decemlineata,
4171,Bombus borealis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/415027,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Subterraneobombus,Bombus borealis,
4168,Ischnura heterosticta,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/52054,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Ischnura,No subgenus,Ischnura heterosticta,
4158,Vanessa annabella,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/48507,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,No subgenus,Vanessa annabella,
