photo_count,taxon_name,ancestry,rank,rank_level,state_of_matter,kingdom,phylum,subphylum,class,subclass,order,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies
190328,Apis mellifera,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538904/47220/578086,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Apini,Apis,Apis,Apis mellifera,
142726,Danaus plexippus,48460/1/47120/372739/47158/184884/47157/47224/47922/61244/134169/522900/48663,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Danainae,Danaini,Danaus,No subgenus,Danaus plexippus,
119322,Harmonia axyridis,48460/1/47120/372739/47158/184884/47208/71130/372852/471714/48486/333790/333796/48487,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Harmonia,No subgenus,Harmonia axyridis,
78427,Bombus impatiens,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Pyrobombus,Bombus impatiens,
58325,Coccinella septempunctata,48460/1/47120/372739/47158/184884/47208/71130/372852/471714/48486/333790/333796/51703,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,No subgenus,Coccinella septempunctata,
57962,Vanessa atalanta,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/48507,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,No subgenus,Vanessa atalanta,
54379,Vanessa cardui,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/48507,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,No subgenus,Vanessa cardui,
53936,Pieris rapae,48460/1/47120/372739/47158/184884/47157/47224/48508/209720/321384/475032/55690,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Pierinae,Pierini,Pieris,No subgenus,Pieris rapae,
47618,Pachydiplax longipennis,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/59775,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Pachydiplax,No subgenus,Pachydiplax longipennis,
47517,Dione vanillae,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134173/130349/49151,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Heliconiini,Dione,Agraulis,Dione vanillae,
43311,Papilio glaucus,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545186,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Pterourus,Papilio glaucus,
40355,Erythemis simplicicollis,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/53868,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Erythemis,No subgenus,Erythemis simplicicollis,
36131,Xylocopa virginica,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/244505/574159/51111/571260,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Xylocopinae,Xylocopini,Xylocopa,Xylocopoides,Xylocopa virginica,
34794,Plathemis lydia,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/84550,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Plathemis,No subgenus,Plathemis lydia,
34524,Papilio polyxenes,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545183,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio,Papilio polyxenes,
33385,Bombus griseocollis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538890,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Cullumanobombus,Bombus griseocollis,
29818,Junonia coenia,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202224/48506,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Junoniini,Junonia,No subgenus,Junonia coenia,
29022,Hylephila phyleus,48460/1/47120/372739/47158/184884/47157/47224/47653/122493/320552/50341,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Hylephila,No subgenus,Hylephila phyleus,
28625,Eristalis tenax,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/326181/364082/520020/52491/520029,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Eristalinae,Eristalini,Eristalis,Eristalis,Eristalis tenax,
27572,Phyciodes tharos,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/130316/52924,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Melitaeini,Phyciodes,No subgenus,Phyciodes tharos,
25640,Strymon melinus,48460/1/47120/372739/47158/184884/47157/47224/47923/125830/125836/522886/50940,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Eumaeini,Strymon,No subgenus,Strymon melinus,
25375,Libellula luctuosa,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/47818,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Libellula,No subgenus,Libellula luctuosa,
24765,Battus philenor,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/49974/522893/49975,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Troidini,Battus,No subgenus,Battus philenor,
24320,Epargyreus clarus,48460/1/47120/372739/47158/184884/47157/47224/47653/320509/1070950/81560,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Eudaminae,Eudamini,Epargyreus,No subgenus,Epargyreus clarus,
23961,Halyomorpha halys,48460/1/47120/372739/47158/184884/47744/61267/372868/47743/47742/51276/528234/81924,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Pentatomoidea,Pentatomidae,Pentatominae,Cappaeini,Halyomorpha,No subgenus,Halyomorpha halys,
23296,Aglais io,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/54469,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Aglais,No subgenus,Aglais io,
23255,Nymphalis antiopa,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/49921,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,No subgenus,Nymphalis antiopa,
22979,Polistes dominula,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/638567/52756/789375,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Vespoidea,Vespidae,Polistinae,Polistini,Polistes,Polistes,Polistes dominula,
22757,Pyrrharctia isabella,48460/1/47120/372739/47158/184884/47157/47607/121850/47606/82089/123834/59676,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pyrrharctia,No subgenus,Pyrrharctia isabella,
22729,Oncopeltus fasciatus,48460/1/47120/372739/47158/184884/47744/61267/372868/466233/55558/130314/55559/888838,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Lygaeoidea,Lygaeidae,Lygaeinae,No tribe,Oncopeltus,Erythrischius,Oncopeltus fasciatus,
21257,Vanessa virginiensis,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/48507,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,No subgenus,Vanessa virginiensis,
21102,Lymantria dispar,48460/1/47120/372739/47158/184884/47157/47607/121850/48847/82039/48848,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Lymantriinae,Lymantriini,Lymantria,No subgenus,Lymantria dispar,
20983,Bombus pensylvanicus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538902,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus pensylvanicus,
20358,Toxomerus marginatus,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/186841/520010/58753,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Syrphinae,Toxomerini,Toxomerus,No subgenus,Toxomerus marginatus,
20133,Pararge aegeria,48460/1/47120/372739/47158/184884/47157/47224/47922/58597/58598/58599/52593,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,Pararge,No subgenus,Pararge aegeria,
19988,Danaus gilippus,48460/1/47120/372739/47158/184884/47157/47224/47922/61244/134169/522900/48663,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Danainae,Danaini,Danaus,No subgenus,Danaus gilippus,
19807,Cupido comyntas,48460/1/47120/372739/47158/184884/47157/47224/47923/58558/125833/522677/122380,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Cupido,No subgenus,Cupido comyntas,
19731,Calopteryx maculata,48460/1/47120/372739/47158/184884/47792/47928/1317181/47929/51825,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Calopterygoidea,Calopterygidae,No subfamily,No tribe,Calopteryx,No subgenus,Calopteryx maculata,
19693,Vespa crabro,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/84738/54328,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Vespoidea,Vespidae,Vespinae,No tribe,Vespa,No subgenus,Vespa crabro,
18919,Aglais urticae,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/54469,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Aglais,No subgenus,Aglais urticae,
18800,Hippodamia convergens,48460/1/47120/372739/47158/184884/47208/71130/372852/471714/48486/333790/333796/48988,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Hippodamia,No subgenus,Hippodamia convergens,
18782,Anax junius,48460/1/47120/372739/47158/184884/47792/47927/1317180/51469/51468,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Aeshnoidea,Aeshnidae,No subfamily,No tribe,Anax,No subgenus,Anax junius,
18521,Popillia japonica,48460/1/47120/372739/47158/184884/47208/71130/702480/48202/48201/48857/425997/1260627/67761,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Scarabaeoidea,Scarabaeidae,Rutelinae,Anomalini,Popillia,No subgenus,Popillia japonica,
18516,Mantis religiosa,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097016/48111/570063/56564,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Mantodea,Mantoidea,Mantidae,Mantinae,No tribe,Mantis,No subgenus,Mantis religiosa,
18485,Maniola jurtina,48460/1/47120/372739/47158/184884/47157/47224/47922/58597/58598/208488/55654,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Satyrini,Maniola,No subgenus,Maniola jurtina,
18327,Arilus cristatus,48460/1/47120/372739/47158/184884/47744/61267/372850/133754/48959/320199/482431/48960,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Reduvioidea,Reduviidae,Harpactorinae,Harpactorini,Arilus,No subgenus,Arilus cristatus,
18146,Bombus bimaculatus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Pyrobombus,Bombus bimaculatus,
18115,Polyommatus icarus,48460/1/47120/372739/47158/184884/47157/47224/47923/58558/125833/522678/55642,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Polyommatus,No subgenus,Polyommatus icarus,
17714,Polistes fuscatus,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/638567/52756/789379,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Vespoidea,Vespidae,Polistinae,Polistini,Polistes,Fuscopolistes,Polistes fuscatus,
17515,Euptoieta claudia,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134168/68246,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnini,Euptoieta,No subgenus,Euptoieta claudia,
16917,Antheraea polyphemus,48460/1/47120/372739/47158/184884/47157/47214/47918/124126/125080/47920,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Bombycoidea,Saturniidae,Saturniinae,Saturniini,Antheraea,No subgenus,Antheraea polyphemus,
16914,Dolichovespula maculata,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/84738/52912,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Vespoidea,Vespidae,Vespinae,No tribe,Dolichovespula,No subgenus,Dolichovespula maculata,
16868,Lycaena phlaeas,48460/1/47120/372739/47158/184884/47157/47224/47923/125835/125818/54010/522624,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena,Lycaena phlaeas,
16814,Diabrotica undecimpunctata,48460/1/47120/372739/47158/184884/47208/71130/372852/176269/51146/245843/373841/461899/55488,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Chrysomeloidea,Chrysomelidae,Galerucinae,Luperini,Diabrotica,No subgenus,Diabrotica undecimpunctata,
16798,Perithemis tenera,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/59777,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Perithemis,No subgenus,Perithemis tenera,
16488,Hyles lineata,48460/1/47120/372739/47158/184884/47157/47214/47213/124071/124065/124055/49349,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Hyles,No subgenus,Hyles lineata,
16341,Leptoglossus occidentalis,48460/1/47120/372739/47158/184884/47744/61267/372868/51776/51777/319231/464228/61257/1305786,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Coreoidea,Coreidae,Coreinae,Anisoscelini,Leptoglossus,No subgenus,Leptoglossus occidentalis,
16198,Noctua pronuba,48460/1/47120/372739/47158/184884/47157/47607/48670/122224/117747/320201/81688,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Noctua,No subgenus,Noctua pronuba,
16080,Papilio troilus,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545186,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Pterourus,Papilio troilus,
16013,Polygonia interrogationis,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/50392,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,No subgenus,Polygonia interrogationis,
15777,Bombus pascuorum,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538902,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Thoracobombus,Bombus pascuorum,
15764,Pyrrhocoris apterus,48460/1/47120/372739/47158/184884/47744/61267/372868/52983/55612/55613,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Pyrrhocoroidea,Pyrrhocoridae,No subfamily,No tribe,Pyrrhocoris,No subgenus,Pyrrhocoris apterus,
15688,Atalopedes campestris,48460/1/47120/372739/47158/184884/47157/47224/47653/122493/320552/52077,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Atalopedes,No subgenus,Atalopedes campestris,
15480,Actias luna,48460/1/47120/372739/47158/184884/47157/47214/47918/124126/125080/47917,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Bombycoidea,Saturniidae,Saturniinae,Saturniini,Actias,No subgenus,Actias luna,
15298,Episyrphus balteatus,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/186841/121991/52483,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Syrphinae,Syrphini,Episyrphus,No subgenus,Episyrphus balteatus,
15294,Colias eurytheme,48460/1/47120/372739/47158/184884/47157/47224/48508/119556/58533,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Coliadinae,No tribe,Colias,No subgenus,Colias eurytheme,
15175,Sympetrum corruptum,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/51556,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Sympetrum,No subgenus,Sympetrum corruptum,
15113,Sympetrum vicinum,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/51556,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Sympetrum,No subgenus,Sympetrum vicinum,
14854,Ischnura verticalis,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/52054,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Ischnura,No subgenus,Ischnura verticalis,
14842,Ischnura posita,48460/1/47120/372739/47158/184884/47792/47928/426081/47925/52054,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Coenagrionoidea,Coenagrionidae,No subfamily,No tribe,Ischnura,No subgenus,Ischnura posita,
14536,Melanoplus differentialis,48460/1/47120/372739/47158/184884/47651/67688/700600/47650/47649/328102/523474/63523,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Orthoptera,Acridoidea,Acrididae,Melanoplinae,Melanoplini,Melanoplus,No subgenus,Melanoplus differentialis,
14367,Polygonia c-album,48460/1/47120/372739/47158/184884/47157/47224/47922/202067/202066/50392,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,No subgenus,Polygonia c-album,
13945,Limenitis arthemis astyanax,48460/1/47120/372739/47158/184884/47157/47224/47922/134171/134175/50881/60607,subspecies,5.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,No subgenus,[72] No species,Limenitis arthemis astyanax
13911,Palomena prasina,48460/1/47120/372739/47158/184884/47744/61267/372868/47743/47742/51276/712842/62061,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Pentatomoidea,Pentatomidae,Pentatominae,Nezarini,Palomena,No subgenus,Palomena prasina,
13871,Asterocampa celtis,48460/1/47120/372739/47158/184884/47157/47224/47922/134166/58588,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Apaturinae,No tribe,Asterocampa,No subgenus,Asterocampa celtis,
13771,Cicindela sexguttata,48460/1/47120/372739/47158/184884/47208/340471/372884/49567/119895/373661/373919/49568/736941,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Caraboidea,Carabidae,Cicindelinae,Cicindelini,Cicindela,Cicindela,Cicindela sexguttata,
13561,Halysidota tessellaris,48460/1/47120/372739/47158/184884/47157/47607/121850/47606/82089/82113/120218,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Arctiini,Halysidota,No subgenus,Halysidota tessellaris,
13452,Halictus ligatus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/57677/606646,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Halictidae,Halictinae,Halictini,Halictus,Odontalictus,Halictus ligatus,
13287,Argynnis paphia,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134168/1117856,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnini,Argynnis,No subgenus,Argynnis paphia,
13226,Speyeria cybele,48460/1/47120/372739/47158/184884/47157/47224/47922/60854/134168/47981,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnini,Speyeria,No subgenus,Speyeria cybele,
13030,Celithemis eponina,48460/1/47120/372739/47158/184884/47792/47927/1317176/47819/50148,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Libelluloidea,Libellulidae,No subfamily,No tribe,Celithemis,No subgenus,Celithemis eponina,
13011,Rhagonycha fulva,48460/1/47120/372739/47158/184884/47208/71130/372854/47207/52932/460758/529314/62463,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Elateroidea,Cantharidae,Cantharinae,Cantharini,Rhagonycha,No subgenus,Rhagonycha fulva,
12780,Pieris napi,48460/1/47120/372739/47158/184884/47157/47224/48508/209720/321384/475032/55690,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Pierinae,Pierini,Pieris,No subgenus,Pieris napi,
12637,Limenitis archippus,48460/1/47120/372739/47158/184884/47157/47224/47922/134171/134175/50881,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,No subgenus,Limenitis archippus,
12633,Chinavia hilaris,48460/1/47120/372739/47158/184884/47744/61267/372868/47743/47742/51276/712842/119607,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Pentatomoidea,Pentatomidae,Pentatominae,Nezarini,Chinavia,No subgenus,Chinavia hilaris,
12437,Libytheana carinenta,48460/1/47120/372739/47158/184884/47157/47224/47922/85868/58562,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Nymphalidae,Libytheinae,No tribe,Libytheana,No subgenus,Libytheana carinenta,
12437,Phoebis sennae,48460/1/47120/372739/47158/184884/47157/47224/48508/119556/48551,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Pieridae,Coliadinae,No tribe,Phoebis,No subgenus,Phoebis sennae,
12405,Atteva aurea,48460/1/47120/372739/47158/184884/47157/53552/124078/53554,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Yponomeutoidea,Attevidae,No subfamily,No tribe,Atteva,No subgenus,Atteva aurea,
12255,Toxomerus geminatus,48460/1/47120/372739/47158/184884/47822/48091/372853/414448/49995/186841/520010/58753,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,No superfamily,Syrphidae,Syrphinae,Toxomerini,Toxomerus,No subgenus,Toxomerus geminatus,
11792,Lon zabulon,48460/1/47120/372739/47158/184884/47157/47224/47653/122493/320552/1081313,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Hesperiidae,Hesperiinae,Hesperiini,Lon,No subgenus,Lon zabulon,
11762,Bombus ternarius,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/538883/52775/538900,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Apidae,Apinae,Bombini,Bombus,Pyrobombus,Bombus ternarius,
11603,Sphex ichneumoneus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/465407/518245/48739/700734,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hymenoptera,Apoidea,Sphecidae,Sphecinae,Sphecini,Sphex,Sphex,Sphex ichneumoneus,
11572,Tenodera sinensis,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097016/48111/1096984/1097067/1097119/71035,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Mantodea,Mantoidea,Mantidae,Tenoderinae,Tenoderini,Tenodera,No subgenus,Tenodera sinensis,
11565,Papilio machaon,48460/1/47120/372739/47158/184884/47157/47224/47223/49973/207785/47225/545183,species,10.0,Life,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio,Papilio machaon,
